dataset,path,target,rows_seen,rows_selected
cic_iot_diad_2024_raw_proportion,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\Benign\BenignTraffic.pcap_Flow.csv,0,183630,2716
cic_iot_diad_2024_raw_proportion,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\Benign\BenignTraffic1.pcap_Flow.csv,0,84526,1195
cic_iot_diad_2024_raw_proportion,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\Benign\BenignTraffic2.pcap_Flow.csv,0,91279,1266
cic_iot_diad_2024_raw_proportion,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\Benign\BenignTraffic3.pcap_Flow.csv,0,38895,552
cic_iot_diad_2024_raw_proportion,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\BruteForce\DictionaryBruteForce.pcap_Flow.csv,1,3619,61
cic_iot_diad_2024_raw_proportion,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation.pcap_Flow.csv,1,323886,4545
cic_iot_diad_2024_raw_proportion,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation1.pcap_Flow.csv,1,137172,1988
cic_iot_diad_2024_raw_proportion,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation10.pcap_Flow.csv,1,166796,2445
cic_iot_diad_2024_raw_proportion,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation11.pcap_Flow.csv,1,198622,2847
cic_iot_diad_2024_raw_proportion,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation12.pcap_Flow.csv,1,37292,491
cic_iot_diad_2024_raw_proportion,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation2.pcap_Flow.csv,1,121409,1720
cic_iot_diad_2024_raw_proportion,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation3.pcap_Flow.csv,1,174443,2487
cic_iot_diad_2024_raw_proportion,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation4.pcap_Flow.csv,1,152216,2177
cic_iot_diad_2024_raw_proportion,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation5.pcap_Flow.csv,1,209344,2975
cic_iot_diad_2024_raw_proportion,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation6.pcap_Flow.csv,1,209790,2993
cic_iot_diad_2024_raw_proportion,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation7.pcap_Flow.csv,1,127543,1821
cic_iot_diad_2024_raw_proportion,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation8.pcap_Flow.csv,1,179379,2519
cic_iot_diad_2024_raw_proportion,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation9.pcap_Flow.csv,1,412194,5989
cic_iot_diad_2024_raw_proportion,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ICMP Flood\DDoS-ICMP_Flood.pcap_Flow.csv,1,10415,139
cic_iot_diad_2024_raw_proportion,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ICMP Flood\DDoS-ICMP_Flood1.pcap_Flow.csv,1,8263,116
cic_iot_diad_2024_raw_proportion,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ICMP Flood\DDoS-ICMP_Flood10.pcap_Flow.csv,1,7558,115
cic_iot_diad_2024_raw_proportion,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ICMP Flood\DDoS-ICMP_Flood11.pcap_Flow.csv,1,8312,116
cic_iot_diad_2024_raw_proportion,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ICMP Flood\DDoS-ICMP_Flood12.pcap_Flow.csv,1,7204,106
cic_iot_diad_2024_raw_proportion,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ICMP Flood\DDoS-ICMP_Flood13.pcap_Flow.csv,1,5552,69
cic_iot_diad_2024_raw_proportion,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ICMP Flood\DDoS-ICMP_Flood14.pcap_Flow.csv,1,6572,97
cic_iot_diad_2024_raw_proportion,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ICMP Flood\DDoS-ICMP_Flood15.pcap_Flow.csv,1,10323,153
cic_iot_diad_2024_raw_proportion,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ICMP Flood\DDoS-ICMP_Flood16.pcap_Flow.csv,1,10270,137
cic_iot_diad_2024_raw_proportion,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ICMP Flood\DDoS-ICMP_Flood17.pcap_Flow.csv,1,4643,58
cic_iot_diad_2024_raw_proportion,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ICMP Flood\DDoS-ICMP_Flood18.pcap_Flow.csv,1,4062,58
cic_iot_diad_2024_raw_proportion,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ICMP Flood\DDoS-ICMP_Flood19.pcap_Flow.csv,1,8121,117
cic_iot_diad_2024_raw_proportion,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ICMP Flood\DDoS-ICMP_Flood2.pcap_Flow.csv,1,10958,152
