dataset,path,target,rows_seen,rows_selected
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\Benign\BenignTraffic.pcap_Flow.csv,0,183630,92073
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\Benign\BenignTraffic1.pcap_Flow.csv,0,84526,42447
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\Benign\BenignTraffic2.pcap_Flow.csv,0,91279,45864
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\Benign\BenignTraffic3.pcap_Flow.csv,0,38895,19616
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\BruteForce\DictionaryBruteForce.pcap_Flow.csv,1,3619,32
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation.pcap_Flow.csv,1,323886,2294
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation1.pcap_Flow.csv,1,137172,1068
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation10.pcap_Flow.csv,1,166796,1213
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation11.pcap_Flow.csv,1,198622,1405
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation12.pcap_Flow.csv,1,37292,240
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation2.pcap_Flow.csv,1,121409,831
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation3.pcap_Flow.csv,1,174443,1265
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation4.pcap_Flow.csv,1,152216,1124
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation5.pcap_Flow.csv,1,209344,1507
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation6.pcap_Flow.csv,1,209790,1536
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation7.pcap_Flow.csv,1,127543,947
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation8.pcap_Flow.csv,1,179379,1247
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ACK Fragmentation\DDoS-ACK_Fragmentation9.pcap_Flow.csv,1,412194,3061
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ICMP Flood\DDoS-ICMP_Flood.pcap_Flow.csv,1,10415,69
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ICMP Flood\DDoS-ICMP_Flood1.pcap_Flow.csv,1,8263,60
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ICMP Flood\DDoS-ICMP_Flood10.pcap_Flow.csv,1,7558,62
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ICMP Flood\DDoS-ICMP_Flood11.pcap_Flow.csv,1,8312,58
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ICMP Flood\DDoS-ICMP_Flood12.pcap_Flow.csv,1,7204,49
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ICMP Flood\DDoS-ICMP_Flood13.pcap_Flow.csv,1,5552,34
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ICMP Flood\DDoS-ICMP_Flood14.pcap_Flow.csv,1,6572,48
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ICMP Flood\DDoS-ICMP_Flood15.pcap_Flow.csv,1,10323,76
cic_iot_diad_2024,data\raw\cic_iot_diad_2024\Anomaly Detection - Flow Based features\DDoS\DDoS ICMP Flood\DDoS-ICMP_Flood16.pcap_Flow.csv,1,10270,62
