dataset,model,ablation,covered,sample_count,mean_true_label_probability,median_true_label_probability,mean_max_probability,median_max_probability,mean_probability_margin,median_probability_margin,unique_max_probability_6dp,unique_true_label_probability_6dp
cic_iot_diad_2024,logistic_regression,full,0,1330,0.007653427631177219,0.0077061392242486,0.9923465723688226,0.9922938607757512,0.9846931447376455,0.9845877215515026,5,5
cic_iot_diad_2024,logistic_regression,full,1,398570,0.8750688068328127,0.9409203364670956,0.9222860411078853,0.9409203364670956,0.8445720822157705,0.8818406729341911,50,95
cic_iot_diad_2024,logistic_regression,platt_full,0,4517,0.04120138590973141,0.0301008416231741,0.9587986140902686,0.9698991583768258,0.917597228180537,0.9397983167536518,4288,4288
cic_iot_diad_2024,logistic_regression,platt_full,1,395383,0.8752348611180818,0.9371367159078412,0.9126822455475133,0.9387926856134482,0.8253644910950265,0.8775853712268964,165926,175397
cic_iot_diad_2024,logistic_regression,risk_aware_full_b0.01_a0.001,0,1330,0.007653427631177219,0.0077061392242486,0.9923465723688226,0.9922938607757512,0.9846931447376455,0.9845877215515026,5,5
cic_iot_diad_2024,logistic_regression,risk_aware_full_b0.01_a0.001,1,398570,0.8750688068328127,0.9409203364670956,0.9222860411078853,0.9409203364670956,0.8445720822157705,0.8818406729341911,50,95
cic_iot_diad_2024,logistic_regression,risk_aware_platt_full_b0.01_a0.001,0,2381,0.05996719245553605,0.0638253841552737,0.9400328075444639,0.9361746158447264,0.8800656150889279,0.8723492316894527,2240,2240
cic_iot_diad_2024,logistic_regression,risk_aware_platt_full_b0.01_a0.001,1,397519,0.8706409250082843,0.9358385073379352,0.913042444553329,0.9403569418437032,0.8260848891066581,0.8807138836874064,166342,177467
cic_iot_diad_2024,mlp,full,0,1774,0.18928153854792196,0.2073170731707317,0.810718461452078,0.7926829268292683,0.6214369229041561,0.5853658536585367,24,24
cic_iot_diad_2024,mlp,full,1,398126,0.9416364932277907,0.964015538744633,0.9650191897005919,0.964015538744633,0.9300383794011838,0.9280310774892659,49,74
cic_iot_diad_2024,mlp,platt_full,0,4544,0.1516982983031285,0.03427954931329355,0.8483017016968715,0.9657204506867063,0.6966034033937429,0.9314409013734128,4402,4402
cic_iot_diad_2024,mlp,platt_full,1,395356,0.9457643781221856,0.9905693006125338,0.9624734162595364,0.9905693006125338,0.9249468325190727,0.9811386012250676,103753,107810
cic_iot_diad_2024,mlp,risk_aware_full_b0.01_a0.001,0,1774,0.18928153854792196,0.2073170731707317,0.810718461452078,0.7926829268292683,0.6214369229041561,0.5853658536585367,24,24
cic_iot_diad_2024,mlp,risk_aware_full_b0.01_a0.001,1,398126,0.9416364932277907,0.964015538744633,0.9650191897005919,0.964015538744633,0.9300383794011838,0.9280310774892659,49,74
cic_iot_diad_2024,mlp,risk_aware_platt_full_b0.01_a0.001,0,2389,0.2678944448709906,0.3057519608436589,0.7321055551290093,0.694248039156341,0.46421111025801876,0.3884960783126821,2334,2334
cic_iot_diad_2024,mlp,risk_aware_platt_full_b0.01_a0.001,1,397511,0.9407612335647754,0.9902401075915204,0.962552791545423,0.9903388985650536,0.9251055830908461,0.9806777971301073,103902,109874
cic_iot_diad_2024,random_forest,full,0,1858,0.37900306910527265,0.3773584905660377,0.6585446518619531,0.6226415094339623,0.31708930372390615,0.24528301886792464,46,46
cic_iot_diad_2024,random_forest,full,1,398042,0.9676433304016928,0.9813646397931548,0.9811898806242965,0.9813646397931548,0.962379761248593,0.9627292795863097,93,138
cic_iot_diad_2024,random_forest,platt_full,0,4263,0.23747920326725697,0.0387107016242651,0.80171340953495,0.9612892983757348,0.6034268190698999,0.9225785967514697,1726,1728
cic_iot_diad_2024,random_forest,platt_full,1,395637,0.9661437398427607,0.9998227798945308,0.9732139325225135,0.9998227798945308,0.9464278650450271,0.9996455597890616,43833,44533
cic_iot_diad_2024,random_forest,risk_aware_full_b0.01_a0.001,0,1858,0.37900306910527265,0.3773584905660377,0.6585446518619531,0.6226415094339623,0.31708930372390615,0.24528301886792464,46,46
cic_iot_diad_2024,random_forest,risk_aware_full_b0.01_a0.001,1,398042,0.9676433304016928,0.9813646397931548,0.9811898806242965,0.9813646397931548,0.962379761248593,0.9627292795863097,93,138
cic_iot_diad_2024,random_forest,risk_aware_platt_full_b0.01_a0.001,0,1953,0.4995813235496404,0.5385777982281792,0.5859681431046394,0.5721543034164392,0.1719362862092787,0.14430860683287844,971,973
cic_iot_diad_2024,random_forest,risk_aware_platt_full_b0.01_a0.001,1,397947,0.9606276773510195,0.9998227798945308,0.9732772180787235,0.9998227798945308,0.9465544361574472,0.9996455597890616,44037,45286
cic_iot_diad_2024,xgboost,full,0,1847,0.37096433003173185,0.4597701149425287,0.6580447643523311,0.5789473684210527,0.316089528704662,0.15789473684210537,33,33
cic_iot_diad_2024,xgboost,full,1,398053,0.9634156540967239,0.9766893661602932,0.9791390916492545,0.9766893661602932,0.9582781832985089,0.9533787323205867,50,67
cic_iot_diad_2024,xgboost,platt_full,0,4448,0.19817653612098457,0.0294707501525224,0.8216691202978252,0.9705292498474776,0.6433382405956506,0.9410584996949551,3599,3604
cic_iot_diad_2024,xgboost,platt_full,1,395452,0.9698075508901234,0.9949382845679434,0.9796039056007111,0.9949382845679434,0.9592078112014222,0.989876569135887,58148,59838
cic_iot_diad_2024,xgboost,risk_aware_full_b0.01_a0.001,0,1847,0.37096433003173185,0.4597701149425287,0.6580447643523311,0.5789473684210527,0.316089528704662,0.15789473684210537,33,33
cic_iot_diad_2024,xgboost,risk_aware_full_b0.01_a0.001,1,398053,0.9634156540967239,0.9766893661602932,0.9791390916492545,0.9766893661602932,0.9582781832985089,0.9533787323205867,50,67
cic_iot_diad_2024,xgboost,risk_aware_platt_full_b0.01_a0.001,0,2449,0.3427838492952316,0.3787972030545782,0.69326085456384,0.6345335901468246,0.38652170912768,0.26906718029364934,2161,2166
cic_iot_diad_2024,xgboost,risk_aware_platt_full_b0.01_a0.001,1,397451,0.9650355570884038,0.9947242118789328,0.97960078623999,0.9947242118789328,0.9592015724799802,0.9894484237578657,58286,61276
