dataset,model,ablation,true_label,coverage,sample_count
cic_iot_diad_2024,logistic_regression,full,0,0.9933470061527687,199910
cic_iot_diad_2024,logistic_regression,full,1,1.0,199990
cic_iot_diad_2024,logistic_regression,platt_full,0,0.989695362913311,199910
cic_iot_diad_2024,logistic_regression,platt_full,1,0.9877143857192859,199990
cic_iot_diad_2024,logistic_regression,risk_aware_full_b0.01_a0.001,0,0.9933470061527687,199910
cic_iot_diad_2024,logistic_regression,risk_aware_full_b0.01_a0.001,1,1.0,199990
cic_iot_diad_2024,logistic_regression,risk_aware_platt_full_b0.01_a0.001,0,0.989695362913311,199910
cic_iot_diad_2024,logistic_regression,risk_aware_platt_full_b0.01_a0.001,1,0.9983949197459873,199990
cic_iot_diad_2024,mlp,full,0,0.9911260067030163,199910
cic_iot_diad_2024,mlp,full,1,1.0,199990
cic_iot_diad_2024,mlp,platt_full,0,0.98935520984443,199910
cic_iot_diad_2024,mlp,platt_full,1,0.9879193959697985,199990
cic_iot_diad_2024,mlp,risk_aware_full_b0.01_a0.001,0,0.9911260067030163,199910
cic_iot_diad_2024,mlp,risk_aware_full_b0.01_a0.001,1,1.0,199990
cic_iot_diad_2024,mlp,risk_aware_platt_full_b0.01_a0.001,0,0.98935520984443,199910
cic_iot_diad_2024,mlp,risk_aware_platt_full_b0.01_a0.001,1,0.9986949347467373,199990
cic_iot_diad_2024,random_forest,full,0,0.9907058176179281,199910
cic_iot_diad_2024,random_forest,full,1,1.0,199990
cic_iot_diad_2024,random_forest,platt_full,0,0.9902306037716972,199910
cic_iot_diad_2024,random_forest,platt_full,1,0.9884494224711236,199990
cic_iot_diad_2024,random_forest,risk_aware_full_b0.01_a0.001,0,0.9907058176179281,199910
cic_iot_diad_2024,random_forest,risk_aware_full_b0.01_a0.001,1,1.0,199990
cic_iot_diad_2024,random_forest,risk_aware_platt_full_b0.01_a0.001,0,0.9902306037716972,199910
cic_iot_diad_2024,random_forest,risk_aware_platt_full_b0.01_a0.001,1,1.0,199990
cic_iot_diad_2024,xgboost,full,0,0.9907608423790706,199910
cic_iot_diad_2024,xgboost,full,1,1.0,199990
cic_iot_diad_2024,xgboost,platt_full,0,0.9890350657796009,199910
cic_iot_diad_2024,xgboost,platt_full,1,0.9887194359717986,199990
cic_iot_diad_2024,xgboost,risk_aware_full_b0.01_a0.001,0,0.9907608423790706,199910
cic_iot_diad_2024,xgboost,risk_aware_full_b0.01_a0.001,1,1.0,199990
cic_iot_diad_2024,xgboost,risk_aware_platt_full_b0.01_a0.001,0,0.9890350657796009,199910
cic_iot_diad_2024,xgboost,risk_aware_platt_full_b0.01_a0.001,1,0.9987149357467874,199990
