dataset,model,ablation,set_size,count
cic_iot_diad_2024,logistic_regression,full,1,145925
cic_iot_diad_2024,logistic_regression,full,2,253975
cic_iot_diad_2024,logistic_regression,platt_full,1,200068
cic_iot_diad_2024,logistic_regression,platt_full,2,199832
cic_iot_diad_2024,logistic_regression,risk_aware_full_b0.01_a0.001,1,145925
cic_iot_diad_2024,logistic_regression,risk_aware_full_b0.01_a0.001,2,253975
cic_iot_diad_2024,logistic_regression,risk_aware_platt_full_b0.01_a0.001,1,161875
cic_iot_diad_2024,logistic_regression,risk_aware_platt_full_b0.01_a0.001,2,238025
cic_iot_diad_2024,mlp,full,1,188818
cic_iot_diad_2024,mlp,full,2,211082
cic_iot_diad_2024,mlp,platt_full,1,278631
cic_iot_diad_2024,mlp,platt_full,2,121269
cic_iot_diad_2024,mlp,risk_aware_full_b0.01_a0.001,1,188818
cic_iot_diad_2024,mlp,risk_aware_full_b0.01_a0.001,2,211082
cic_iot_diad_2024,mlp,risk_aware_platt_full_b0.01_a0.001,1,203881
cic_iot_diad_2024,mlp,risk_aware_platt_full_b0.01_a0.001,2,196019
cic_iot_diad_2024,random_forest,full,1,195213
cic_iot_diad_2024,random_forest,full,2,204687
cic_iot_diad_2024,random_forest,platt_full,1,347932
cic_iot_diad_2024,random_forest,platt_full,2,51968
cic_iot_diad_2024,random_forest,risk_aware_full_b0.01_a0.001,1,195213
cic_iot_diad_2024,random_forest,risk_aware_full_b0.01_a0.001,2,204687
cic_iot_diad_2024,random_forest,risk_aware_platt_full_b0.01_a0.001,1,195379
cic_iot_diad_2024,random_forest,risk_aware_platt_full_b0.01_a0.001,2,204521
cic_iot_diad_2024,xgboost,full,1,194228
cic_iot_diad_2024,xgboost,full,2,205672
cic_iot_diad_2024,xgboost,platt_full,1,338709
cic_iot_diad_2024,xgboost,platt_full,2,61191
cic_iot_diad_2024,xgboost,risk_aware_full_b0.01_a0.001,1,194228
cic_iot_diad_2024,xgboost,risk_aware_full_b0.01_a0.001,2,205672
cic_iot_diad_2024,xgboost,risk_aware_platt_full_b0.01_a0.001,1,236900
cic_iot_diad_2024,xgboost,risk_aware_platt_full_b0.01_a0.001,2,163000
