dataset,model,ablation,true_label,coverage,sample_count
unsw_nb15,logistic_regression,full,0,0.9920432432432432,185000
unsw_nb15,logistic_regression,full,1,0.8107738462895967,226660
unsw_nb15,logistic_regression,platt_full,0,0.981,185000
unsw_nb15,logistic_regression,platt_full,1,0.7841701226506662,226660
unsw_nb15,logistic_regression,risk_aware_full_b0.01_a0.001,0,0.9920432432432432,185000
unsw_nb15,logistic_regression,risk_aware_full_b0.01_a0.001,1,1.0,226660
unsw_nb15,logistic_regression,risk_aware_platt_full_b0.01_a0.001,0,0.981,185000
unsw_nb15,logistic_regression,risk_aware_platt_full_b0.01_a0.001,1,0.9408409070855025,226660
unsw_nb15,mlp,full,0,0.9899891891891892,185000
unsw_nb15,mlp,full,1,0.8003750110297362,226660
unsw_nb15,mlp,platt_full,0,0.9768972972972974,185000
unsw_nb15,mlp,platt_full,1,0.7689755581046501,226660
unsw_nb15,mlp,risk_aware_full_b0.01_a0.001,0,0.9899891891891892,185000
unsw_nb15,mlp,risk_aware_full_b0.01_a0.001,1,1.0,226660
unsw_nb15,mlp,risk_aware_platt_full_b0.01_a0.001,0,0.9768972972972974,185000
unsw_nb15,mlp,risk_aware_platt_full_b0.01_a0.001,1,0.9312185652519192,226660
unsw_nb15,random_forest,full,0,0.8218702702702703,185000
unsw_nb15,random_forest,full,1,0.39537192270360894,226660
unsw_nb15,random_forest,platt_full,0,0.7929945945945946,185000
unsw_nb15,random_forest,platt_full,1,0.39421600635312803,226660
unsw_nb15,random_forest,risk_aware_full_b0.01_a0.001,0,0.8218702702702703,185000
unsw_nb15,random_forest,risk_aware_full_b0.01_a0.001,1,0.7406247242565958,226660
unsw_nb15,random_forest,risk_aware_platt_full_b0.01_a0.001,0,0.7929945945945946,185000
unsw_nb15,random_forest,risk_aware_platt_full_b0.01_a0.001,1,0.6747154328068473,226660
unsw_nb15,xgboost,full,0,0.741227027027027,185000
unsw_nb15,xgboost,full,1,0.39701755933998056,226660
unsw_nb15,xgboost,platt_full,0,0.7237135135135135,185000
unsw_nb15,xgboost,platt_full,1,0.3965057795817524,226660
unsw_nb15,xgboost,risk_aware_full_b0.01_a0.001,0,0.741227027027027,185000
unsw_nb15,xgboost,risk_aware_full_b0.01_a0.001,1,0.4193505691343863,226660
unsw_nb15,xgboost,risk_aware_platt_full_b0.01_a0.001,0,0.7237135135135135,185000
unsw_nb15,xgboost,risk_aware_platt_full_b0.01_a0.001,1,0.40385158387011383,226660
