dataset,model,ablation,set_size,count
unsw_nb15,logistic_regression,full,1,167656
unsw_nb15,logistic_regression,full,2,244004
unsw_nb15,logistic_regression,platt_full,1,189853
unsw_nb15,logistic_regression,platt_full,2,221807
unsw_nb15,logistic_regression,risk_aware_full_b0.01_a0.001,1,10196
unsw_nb15,logistic_regression,risk_aware_full_b0.01_a0.001,2,401464
unsw_nb15,logistic_regression,risk_aware_platt_full_b0.01_a0.001,1,146159
unsw_nb15,logistic_regression,risk_aware_platt_full_b0.01_a0.001,2,265501
unsw_nb15,mlp,full,1,174947
unsw_nb15,mlp,full,2,236713
unsw_nb15,mlp,platt_full,1,202547
unsw_nb15,mlp,platt_full,2,209113
unsw_nb15,mlp,risk_aware_full_b0.01_a0.001,1,17047
unsw_nb15,mlp,risk_aware_full_b0.01_a0.001,2,394613
unsw_nb15,mlp,risk_aware_platt_full_b0.01_a0.001,1,157628
unsw_nb15,mlp,risk_aware_platt_full_b0.01_a0.001,2,254032
unsw_nb15,random_forest,full,1,396331
unsw_nb15,random_forest,full,2,15329
unsw_nb15,random_forest,platt_full,1,406028
unsw_nb15,random_forest,platt_full,2,5632
unsw_nb15,random_forest,risk_aware_full_b0.01_a0.001,1,299007
unsw_nb15,random_forest,risk_aware_full_b0.01_a0.001,2,112653
unsw_nb15,random_forest,risk_aware_platt_full_b0.01_a0.001,1,321349
unsw_nb15,random_forest,risk_aware_platt_full_b0.01_a0.001,2,90311
unsw_nb15,xgboost,full,1,405489
unsw_nb15,xgboost,full,2,6171
unsw_nb15,xgboost,platt_full,1,411643
unsw_nb15,xgboost,platt_full,2,17
unsw_nb15,xgboost,risk_aware_full_b0.01_a0.001,1,382888
unsw_nb15,xgboost,risk_aware_full_b0.01_a0.001,2,28772
unsw_nb15,xgboost,risk_aware_platt_full_b0.01_a0.001,1,393508
unsw_nb15,xgboost,risk_aware_platt_full_b0.01_a0.001,2,18152
