dataset,model,ablation,set_size,count
cic_iot_diad_2024_raw_proportion,logistic_regression,full,2,399975
cic_iot_diad_2024_raw_proportion,logistic_regression,platt_full,1,227714
cic_iot_diad_2024_raw_proportion,logistic_regression,platt_full,2,172261
cic_iot_diad_2024_raw_proportion,logistic_regression,risk_aware_full_b0.05_a0.005,1,349791
cic_iot_diad_2024_raw_proportion,logistic_regression,risk_aware_full_b0.05_a0.005,2,50184
cic_iot_diad_2024_raw_proportion,logistic_regression,risk_aware_platt_full_b0.05_a0.005,1,355604
cic_iot_diad_2024_raw_proportion,logistic_regression,risk_aware_platt_full_b0.05_a0.005,2,44371
cic_iot_diad_2024_raw_proportion,mlp,full,1,10693
cic_iot_diad_2024_raw_proportion,mlp,full,2,389282
cic_iot_diad_2024_raw_proportion,mlp,platt_full,1,339663
cic_iot_diad_2024_raw_proportion,mlp,platt_full,2,60312
cic_iot_diad_2024_raw_proportion,mlp,risk_aware_full_b0.05_a0.005,1,372143
cic_iot_diad_2024_raw_proportion,mlp,risk_aware_full_b0.05_a0.005,2,27832
cic_iot_diad_2024_raw_proportion,mlp,risk_aware_platt_full_b0.05_a0.005,1,376909
cic_iot_diad_2024_raw_proportion,mlp,risk_aware_platt_full_b0.05_a0.005,2,23066
cic_iot_diad_2024_raw_proportion,random_forest,full,1,7274
cic_iot_diad_2024_raw_proportion,random_forest,full,2,392701
cic_iot_diad_2024_raw_proportion,random_forest,platt_full,1,378240
cic_iot_diad_2024_raw_proportion,random_forest,platt_full,2,21735
cic_iot_diad_2024_raw_proportion,random_forest,risk_aware_full_b0.05_a0.005,1,79943
cic_iot_diad_2024_raw_proportion,random_forest,risk_aware_full_b0.05_a0.005,2,320032
cic_iot_diad_2024_raw_proportion,random_forest,risk_aware_platt_full_b0.05_a0.005,1,387103
cic_iot_diad_2024_raw_proportion,random_forest,risk_aware_platt_full_b0.05_a0.005,2,12872
cic_iot_diad_2024_raw_proportion,xgboost,full,1,150051
cic_iot_diad_2024_raw_proportion,xgboost,full,2,249924
cic_iot_diad_2024_raw_proportion,xgboost,platt_full,1,380888
cic_iot_diad_2024_raw_proportion,xgboost,platt_full,2,19087
cic_iot_diad_2024_raw_proportion,xgboost,risk_aware_full_b0.05_a0.005,1,382948
cic_iot_diad_2024_raw_proportion,xgboost,risk_aware_full_b0.05_a0.005,2,17027
cic_iot_diad_2024_raw_proportion,xgboost,risk_aware_platt_full_b0.05_a0.005,1,388531
cic_iot_diad_2024_raw_proportion,xgboost,risk_aware_platt_full_b0.05_a0.005,2,11444
