dataset,model,ablation,seed,macro_f1,mcc,balanced_accuracy,macro_pr_auc,brier_score,ece,latency_ms_per_sample,model_only_latency_ms_per_sample,end_to_end_latency_ms_per_sample,latency_repeats,latency_batch_size,probability_calibration_size,conformal_calibration_size,conformal_coverage,average_set_size,singleton_rate,benign_coverage,benign_average_set_size,benign_singleton_rate,attack_coverage,attack_average_set_size,attack_singleton_rate
cic_iot_diad_2024_raw_proportion,logistic_regression,full,11,0.4963926871647655,0.0,0.5,0.9980828727557839,0.024377257787169905,0.0005501749899528282,0.003006649582360019,7.394712157065484e-05,0.003006649582360019,3,79995,31998,31998,1.0,2.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0
cic_iot_diad_2024_raw_proportion,logistic_regression,risk_aware_full_b0.05_a0.005,11,0.4963926871647655,0.0,0.5,0.9980828727557839,0.024377257787169905,0.0005501749899528282,0.0030045940370928594,7.351834538794011e-05,0.0030045940370928594,3,79995,31998,31998,0.9993249578098631,1.1136696043502718,0.8863303956497282,0.9528795811518325,1.9528795811518325,0.04712041884816754,1.0,1.1014724346535785,0.8985275653464216
cic_iot_diad_2024_raw_proportion,logistic_regression,platt_full,11,0.5549475883258238,0.15195561510351258,0.5343827877248839,0.9992516273758788,0.025197636898960537,0.006378944315498309,0.0029288722213397195,7.409046398417205e-05,0.0029288722213397195,3,79995,31998,31998,0.98941183823989,1.4011625726607913,0.5988374273392087,0.9921465968586387,1.7757417102966842,0.22425828970331588,0.9893720909586678,1.3957183984578119,0.6042816015421882
cic_iot_diad_2024_raw_proportion,logistic_regression,risk_aware_platt_full_b0.05_a0.005,11,0.5549475883258238,0.15195561510351258,0.5343827877248839,0.9992516273758788,0.025197636898960537,0.006378944315498309,0.003023149363594434,7.60947556577392e-05,0.003023149363594434,3,79995,31998,31998,0.9938496156009751,1.1040065004062753,0.8959934995937247,0.9511343804537522,1.7958115183246073,0.20418848167539266,0.9944704435059417,1.0939517305228983,0.9060482694771018
cic_iot_diad_2024_raw_proportion,random_forest,full,11,0.7243353276971474,0.46661711362513725,0.677734063099865,0.9954319005450861,0.016860297920327002,0.0008599975041527212,0.0050008075506516175,0.001913086651057054,0.0050008075506516175,3,79995,31998,31998,0.9907869241827614,1.981036314769673,0.018963685230326894,1.0,1.3193717277486912,0.680628272251309,0.9906530203299978,1.990653020329998,0.009346979670002156
cic_iot_diad_2024_raw_proportion,random_forest,risk_aware_full_b0.05_a0.005,11,0.7243353276971474,0.46661711362513725,0.677734063099865,0.9954319005450861,0.016860297920327002,0.0008599975041527212,0.004950498572669096,0.0019059903740173162,0.004950498572669096,3,79995,31998,31998,0.9968748046752922,1.9917369835614727,0.008263016438527409,1.0,1.6413612565445026,0.3586387434554974,0.9968293827442326,1.9968293827442327,0.0031706172557673527
cic_iot_diad_2024_raw_proportion,random_forest,platt_full,11,0.6992225922015576,0.42935887440692755,0.647111859841586,0.999613823654152,0.016974761149427427,0.002172690915698235,0.005660117090414785,0.0019856845215459693,0.005660117090414785,3,79995,31998,31998,0.9900243765235327,1.0480530033127071,0.951946996687293,0.9930191972076788,1.293193717277487,0.7068062827225131,0.9899808494717751,1.0444901013329275,0.9555098986670725
cic_iot_diad_2024_raw_proportion,random_forest,risk_aware_platt_full_b0.05_a0.005,11,0.6992225922015576,0.42935887440692755,0.647111859841586,0.999613823654152,0.016974761149427427,0.0021726909156982344,0.004976221013540307,0.0019185403255389864,0.004976221013540307,3,79995,31998,31998,0.9945871616976061,1.0309144321520094,0.9690855678479905,0.944153577661431,1.4720767888307156,0.5279232111692844,0.9953201689304874,1.02450253015257,0.9754974698474299
cic_iot_diad_2024_raw_proportion,xgboost,full,11,0.4963926871647655,0.0,0.5,0.9996539126405832,0.01826318511662706,0.0002549067111417367,0.004270410650847566,0.000894815092540983,0.004270410650847566,3,79995,31998,31998,0.9999874992187011,1.995037189824364,0.004962810175635977,0.9991273996509599,1.9991273996509598,0.0008726003490401396,1.0,1.9949777422668644,0.005022257733135487
cic_iot_diad_2024_raw_proportion,xgboost,risk_aware_full_b0.05_a0.005,11,0.4963926871647655,0.0,0.5,0.9996539126405832,0.01826318511662706,0.0002549067111417367,0.004312409942596235,0.0009903798153718668,0.004312409942596235,3,79995,31998,31998,0.9993999624976561,1.0401900118757423,0.9598099881242578,0.9581151832460733,1.9581151832460733,0.041884816753926704,1.0,1.026848786921838,0.9731512130781621
cic_iot_diad_2024_raw_proportion,xgboost,platt_full,11,0.7130314991519096,0.44222839619436655,0.6697031053921808,0.9998705740793697,0.016878889479293526,0.0010336735734616555,0.004315724315938552,0.0010819505387264226,0.004315724315938552,3,79995,31998,31998,0.989936871054441,1.0442277642352646,0.9557722357647352,0.9973821989528796,1.3455497382198953,0.6544502617801047,0.9898286598434983,1.039848317670484,0.9601516823295159
cic_iot_diad_2024_raw_proportion,xgboost,risk_aware_platt_full_b0.05_a0.005,11,0.7130314991519096,0.44222839619436655,0.6697031053921808,0.9998705740793697,0.016878889479293526,0.0010336735734616555,0.0044002400146606795,0.0010616855216299015,0.0044002400146606795,3,79995,31998,31998,0.994074629664354,1.02695168448028,0.9730483155197199,0.9520069808027923,1.4912739965095987,0.5087260034904014,0.9946860454793339,1.0202031731537495,0.9797968268462505
cic_iot_diad_2024_raw_proportion,mlp,full,11,0.4963926871647655,0.0,0.5,0.99892743103825,0.021984897599493916,0.0002268406422112139,0.0033166877095729724,0.00018935850174222826,0.0033166877095729724,3,79995,31998,31998,0.9998624914057128,1.97187324207763,0.028126757922370148,0.9904013961605584,1.9904013961605584,0.009598603839441536,1.0,1.9716039518573476,0.02839604814265241
cic_iot_diad_2024_raw_proportion,mlp,risk_aware_full_b0.05_a0.005,11,0.4963926871647655,0.0,0.5,0.99892743103825,0.021984897599493916,0.0002268406422112139,0.003182391816062926,0.00019629018487842277,0.003182391816062926,3,79995,31998,31998,0.9991249453090818,1.059528720545034,0.9404712794549659,0.9389179755671903,1.9389179755671901,0.06108202443280977,1.0,1.0467475808190339,0.9532524191809661
cic_iot_diad_2024_raw_proportion,mlp,platt_full,11,0.5656773122701171,0.18317349889420173,0.5406368385619302,0.9996298483938131,0.021935524366935393,0.002795632874782205,0.0031059912075675406,0.00019185865812074553,0.0031059912075675406,3,79995,31998,31998,0.9897618601162572,1.1173448340521284,0.8826551659478717,0.9956369982547993,1.588132635253054,0.4118673647469459,0.9896764702152215,1.1105023525980038,0.8894976474019962
cic_iot_diad_2024_raw_proportion,mlp,risk_aware_platt_full_b0.05_a0.005,11,0.5656773122701171,0.18317349889420173,0.5406368385619302,0.9996298483938131,0.021935524366935393,0.002795632874782205,0.0031273792113366877,0.00018528658062089848,0.0031273792113366877,3,79995,31998,31998,0.9937621101318832,1.0504781548846802,0.9495218451153197,0.9389179755671903,1.692844677137871,0.30715532286212915,0.9945592207891032,1.041141929510837,0.9588580704891628
cic_iot_diad_2024_raw_proportion,logistic_regression,full,23,0.4963926871647655,0.0,0.5,0.9980828727557839,0.024406523321911944,0.001595627434771021,0.003089198491552943,7.480009173665526e-05,0.003089198491552943,3,79995,31998,31998,1.0,2.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0
cic_iot_diad_2024_raw_proportion,logistic_regression,risk_aware_full_b0.05_a0.005,23,0.4963926871647655,0.0,0.5,0.9980828727557839,0.024406523321911944,0.001595627434771021,0.002957413588514368,7.408338015416336e-05,0.002957413588514368,3,79995,31998,31998,0.9990499406212888,1.101806362897681,0.8981936371023189,0.9336823734729494,1.9336823734729494,0.06631762652705062,1.0,1.089715785869193,0.910284214130807
cic_iot_diad_2024_raw_proportion,logistic_regression,platt_full,23,0.5632195476722591,0.16825246436251123,0.5399849364140179,0.9992516273758788,0.025311607847650637,0.005887832330477322,0.0030357468179616565,6.94172555548098e-05,0.0030357468179616565,3,79995,31998,31998,0.9901743858991187,1.2770673167072941,0.7229326832927058,0.9869109947643979,1.7722513089005236,0.22774869109947643,0.9902218163832135,1.269870258341894,0.730129741658106
